log10(P0),t_inf,P_max
7.0,1.5679496287327928,839241417.0772861
7.0,1.5681760189035192,827159469.1972672
7.0,1.5346892073988332,1020494397.8100089
7.0,1.5057638557799642,1213694247.7290533
7.0,1.5575582867832691,879143862.1698228
7.0,1.5432084072517227,849959749.3520772
7.0,1.4742215730139716,1374229473.568885
7.0,1.5648828332713187,1046848509.2882978
7.0,1.4776752781130196,1272380398.917252
7.0,1.5275017766046497,937915544.6468902
7.0,1.5077290382116029,1045563064.9413621
7.0,1.527251562722317,968315815.2815205
7.0,1.4965957156636398,1247277748.0230477
7.0,1.5433985202199896,938694666.675147
7.0,1.496674640218348,1258022701.5598571
7.0,1.527533416375996,1126948431.5532012
7.0,1.4974732903052612,1218884718.7268298
7.0,1.5574498515941606,836197427.5387124
7.0,1.5431358992174298,967430871.155712
7.0,1.4673826712567186,1445706574.639097
7.0,1.4973373863620276,1189254586.6004305
7.0,1.5090405235018618,1156875112.354743
7.0,1.536431776413013,958506300.1614864
7.0,1.5844233512723707,690276107.5200578
7.0,1.4643025428984693,1344570573.448335
7.0,1.5057396950919604,1038829431.6722747
7.0,1.5392203785214003,899843804.0633837
7.0,1.524062600212982,1171661044.0924804
7.0,1.5247578665460475,1130006058.9926531
7.0,1.4828855247589112,1405122735.4121013
7.0,1.5237282608749554,1070674179.1158522
7.0,1.505573724306802,1215219867.0705702
7.0,1.5430864037593528,869277530.1017064
7.0,1.5089046669322752,1082574906.291211
7.0,1.4641406815829454,1422036885.1533198
7.0,1.603438718236836,680880057.0114046
7.0,1.478419236453659,1289330734.3789163
7.0,1.5076624987303042,1303997069.1069152
7.0,1.4761457897465868,1292130863.2466106
7.0,1.5451702505478313,1037544852.4395168
7.0,1.566401417489911,838530398.9477887
7.0,1.4967621783271898,1116550146.1263888
7.0,1.4946863153047716,1318627401.4738944
7.0,1.4853358061767041,1361643501.312814
7.0,1.5273503220422242,1282194193.7890258
7.0,1.4776121039264811,1305428133.7265263
7.0,1.4474322911053994,1606013740.3249342
7.0,1.515427749198943,1063908580.4710255
7.0,1.5434300569986552,1141038319.208525
7.0,1.4973944429361297,1152951450.6511734
7.0,1.4966959882121085,1232503178.5696054
7.0,1.5076804116415794,1195822471.4270227
7.0,1.4789401321193492,1134561576.8037665
7.0,1.4744558685774554,1474158533.0442674
7.0,1.5130106033302522,933779618.9848571
7.0,1.5346002107109868,843431918.6659904
7.0,1.5432161660705817,975170852.2765385
7.0,1.527399946251683,953462434.5969346
7.0,1.4935501219257084,1037505639.9271127
7.0,1.5365989941975926,960761322.5824217
7.0,1.5274518067003076,1012469199.9072727
7.0,1.5268221607799923,995640837.3024265
7.0,1.4977498056543697,1187249273.8366027
7.0,1.4829993637260104,1293645802.9391387
7.0,1.4777617297148111,1436800122.0289252
7.0,1.4947288036499362,1310019587.9698796
7.0,1.599233039537675,694235682.9779459
7.0,1.4974360058417016,1176588871.9888234
7.0,1.4827988261478222,1258611238.107618
7.0,1.5238453349046497,1143236742.986884
7.0,1.543152212715462,949436119.4236598
7.0,1.5090344572384862,1118515946.779784
7.0,1.4785727544675733,1303414344.9230595
7.0,1.5390723176466945,1121736624.1243753
7.0,1.56911564538723,752571050.8060498
7.0,1.482914131439873,1396295684.2645664
7.0,1.5850890793073624,722525315.8505433
7.0,1.477543235711096,1279789143.9425302
7.0,1.5253168448991017,1005449276.7220701
7.0,1.5392422589891037,1064899666.5946581
7.0,1.5080714982503725,1087183398.6642778
7.0,1.557523894588553,754936926.8365035
7.0,1.4966073165444111,1236256161.7778862
7.0,1.4787061910216721,1320534780.7035975
7.0,1.5431558544756345,854758059.5092251
7.0,1.5242984725735076,1206803079.5369077
7.0,1.4828820780004193,1282389257.8794448
7.0,1.5431419788109342,1169467754.0966935
7.0,1.5090678740413643,1023905929.8234563
7.0,1.5451590487025157,906701851.44416
7.0,1.5384047139638592,869465265.0869745
7.0,1.4946294024501448,1225114063.8178787
7.0,1.479882785324942,1309992928.4909208
7.0,1.5130219890904648,1120672618.436404
7.0,1.508394990894433,1108385871.627409
7.0,1.5077336542524449,1121054124.0409863
7.0,1.4971765606645422,1224281381.9160643
7.0,1.6058455613663405,720652878.7379669
7.0,1.504598497869136,1276234199.174087
7.0,1.5129926994651905,1168547748.8319087
7.0,1.4971217998945734,1148383745.8534286
7.0,1.4787967083966327,1419211858.780439
7.0,1.5260945550614677,1072417626.639598
7.0,1.5089558229089828,1036847814.0117038
7.0,1.5951061511540818,767723062.4117229
7.0,1.4973661628324226,1128891173.2156239
7.0,1.4853070335030905,1260300920.3124716
7.0,1.6034936797695767,732310340.5703685
7.0,1.5575990821925008,900435626.5311524
7.0,1.4942208298717252,1213832734.3081207
7.0,1.4967562168977233,1026675083.2520757
7.0,1.5544504915536137,952930226.8817344
7.0,1.5090924733341644,1183927932.0230012
7.0,1.5385534452082696,920699332.9127377
7.0,1.5246010677068693,1136768293.7738674
7.0,1.5237955006574122,1042882874.0314714
7.0,1.5681338946256342,791258602.5690403
7.0,1.569168907088315,792118003.6018833
7.0,1.5838984173698487,744128995.1216915
7.0,1.509088774850266,938402146.7708763
7.0,1.5576094992193443,1000456366.3992863
7.0,1.478412272908072,1252803914.4080315
7.0,1.4852652618084523,1410651383.0710766
7.0,1.4758034592903106,1519414994.9747558
7.0,1.505721974534407,1117310178.1376705
7.0,1.5044552614722495,1235067203.1247213
7.0,1.4799870672498028,1308411412.2611697
7.0,1.5389984561886554,965187512.1419182
7.0,1.5577558878330755,918669341.3064659
7.0,1.5547219366098464,771558098.3793638
7.0,1.5378494189833025,1076023303.6320612
7.0,1.508376772474618,1020212614.023033
7.0,1.5549540483348856,853645348.2982974
7.0,1.5574035107843833,850243210.888665
7.0,1.503770475941837,1318659966.8516858
7.0,1.5757361256026545,694015257.7873111
7.0,1.5153169089621563,1029509087.3763446
7.0,1.4967059389054258,1349648677.9404905
7.0,1.4782607188078962,1222340189.9238243
7.0,1.5236967119287346,1064251857.2644057
7.0,1.5273845748235917,984071420.0057467
7.0,1.5078432275837381,1062287379.9717294
7.0,1.5153254819217274,1180531417.5281372
7.0,1.5064917429381126,1167410750.0114837
7.0,1.5684909734570016,747974981.9742787
7.0,1.5389413798803737,971478226.2924138
7.0,1.557572681774192,822328050.1680241
7.0,1.526904582446602,986613764.7010124
7.0,1.543080764265196,1013066383.0814315
7.0,1.5080292546721863,1132141636.2046604
7.0,1.5647889978017806,845211082.3542751
7.0,1.4828105499324173,1276885796.7541165
7.0,1.4774733460995575,1396739397.0908039
7.0,1.6251668232332064,617830802.962096
7.0,1.5272848028092538,951933616.4661885
7.0,1.543202831759297,929026775.8321165
7.0,1.5077927053454456,1344374965.746137
7.0,1.5268113348427603,977366725.7937982
7.0,1.4966378986156634,1278979867.782261
7.0,1.5392500607489925,1088108026.4620166
7.0,1.4848765704622668,1273255144.8556082
7.0,1.508186411080289,957330442.4579518
7.0,1.587179852750726,897165873.5741396
7.0,1.5130431671512365,1210455709.4530575
7.0,1.5268134572391325,1007839695.7721773
7.0,1.5077532408308718,1162560929.7379014
7.0,1.4763626411771413,1213559309.6471317
7.0,1.4774873332947138,1336219517.3471963
7.0,1.5082287162187529,1343889515.7054532
7.0,1.5581543199330714,841813157.7512996
7.0,1.557800276609561,877836191.3224825
7.0,1.5648264859997678,880414303.4966375
7.0,1.4827787833456636,1403415233.6214683
7.0,1.5247593553790095,911724311.5556774
7.0,1.5378934493733656,896905886.9791472
7.0,1.4944345992868275,1141077926.7448943
7.0,1.4950743947436547,1189028817.0661788
7.0,1.5076924871043123,1134409150.5188155
7.0,1.5248221701317568,1039595088.3688407
7.0,1.527379352968256,1054831595.39371
7.0,1.4741768441928516,1490112261.3727574
7.0,1.4847691600547739,1302561067.6055179
7.0,1.4972534818777967,1072162383.6932672
7.0,1.538333431945569,982742784.6199446
7.0,1.5553743857744982,883417518.8390745
7.0,1.5235945048935309,987718820.7668743
7.0,1.5732809369128422,820592515.3235397
7.0,1.4827975618937543,1411576797.2388818
7.0,1.5378670513962822,1036522352.7039198
7.0,1.496782770516404,1134152389.40984
7.0,1.504427392936032,1196829176.3951077
7.0,1.4776301148651758,1457282362.4511375
7.0,1.5390776896956186,998166926.9858938
7.0,1.4641418704276952,1453832098.0294638
7.0,1.564716912961681,850941316.7537774
7.0,1.5274005461037046,952185928.7524892
7.0,1.5265714205281349,1014508152.7552048
7.0,1.5455190938591887,914130725.333018
7.0,1.526750629133956,1007495268.6573701
7.0,1.4667914061301623,1308246022.3896449
7.0,1.5267285386006468,1121522544.8491273
7.0,1.4787202555867667,1238312877.499383
7.0,1.5090962907580698,1086791889.7365232
7.0,1.4485350640666523,1631437456.1506627
7.0,1.5272462175242947,974634660.6243429
7.0,1.4965419917247853,1097022781.8890903
7.0,1.4950179364795775,1345824331.1077807
7.0,1.509017028825669,1300458280.7995937
7.0,1.5454612651210553,896765585.6583545
7.0,1.5044512933380327,1090552921.4440863
7.0,1.5077615452446878,1201165019.8235343
7.0,1.5246194673940245,1025885305.19132
7.0,1.5090158561364069,981402542.4171617
7.0,1.5872264841496175,759750053.2078913
7.0,1.603384611404948,719649196.7124732
7.0,1.5129359704602336,1289183183.0405703
7.0,1.5275164254857028,1005911693.0733459
7.0,1.4972578168218087,1273657667.8127048
7.0,1.5078200853208896,1175462585.095131
7.0,1.4642650947047524,1509020451.7053819
7.0,1.4944500186140386,1247364438.0123954
7.0,1.5392194033037496,1013601154.7631669
7.0,1.4831660796436898,1173102620.5732145
7.0,1.4546534459147447,1538191299.4436932
7.0,1.5130203286683237,1032879781.4872336
7.0,1.5549590078214262,858003873.322199
7.0,1.5431328195470762,1027650743.6231891
7.0,1.527223293027722,1025462680.831786
7.0,1.5647597928050099,825113395.2720103
7.0,1.5679273139432428,812972157.1041789
7.0,1.4942108471129742,1208729333.5330143
7.0,1.4971694094552692,1125378562.055931
7.0,1.5546489019777912,920281644.3737581
7.0,1.4551124864075369,1468104320.658552
7.0,1.5537621247136866,868820032.835574
7.0,1.4828289361843074,1167323708.0437021
7.0,1.5076998350075375,1262418141.9424987
7.0,1.5378679967568418,1131980671.7590609
7.0,1.50447959254594,1107361084.9003332
7.0,1.5046343255327264,1125175556.747654
7.0,1.527319972335954,962855875.9505997
7.0,1.5239449082478747,1148575012.9279523
7.0,1.5381675520581892,1000016575.1060324
7.0,1.534720588120199,1035045283.7191709
7.0,1.496641033299803,1373497105.1919308
7.0,1.52732666272186,1012693976.947349
7.0,1.5648244633330444,821942778.5385034
7.0,1.506160092003315,1160456923.311579
7.0,1.614064641342584,645886512.6457056
7.0,1.4967089672503562,1276318110.3930829
7.0,1.510109742426679,1134866472.4917185
7.0,1.5659121355232655,733886053.1094624
7.0,1.5689732621954278,748599163.6240841
7.0,1.5379002273686115,1092451351.6953557
7.0,1.5379562072237636,889283936.1179868
7.0,1.5130631291369954,1192719933.8919518
7.0,1.5045473093153028,1130330824.45406
7.0,1.5080260497486144,1053376995.9251904
7.0,1.4786055640671139,1324309984.78836
7.0,1.5080241368765062,1023834148.2221112
7.0,1.5253101866122396,1047249780.7542883
7.0,1.508685428821976,1087612006.9993033
7.0,1.5276035715616505,1027820015.1389843
7.0,1.507631723198134,1135974661.6323848
7.0,1.4972634648179117,1233565602.604827
7.0,1.5246735244516516,1098281471.8861625
7.0,1.5077976807414641,993379034.4726676
7.0,1.5389862295475867,1179275614.6782274
7.0,1.5379046123678848,916571511.8970191
7.0,1.5275834189049828,999459943.3464049
7.0,1.45270383429898,1516088337.6208892
7.0,1.5950517936237116,667229136.8945951
7.0,1.5732903679165606,881931119.5800654
7.0,1.5087094247199906,1053809919.4935224
7.0,1.5086884365807267,1023138141.7308424
7.0,1.5269273187099082,990906735.2041923
7.0,1.497572405878137,1401861272.2874491
7.0,1.5076105161526836,1258180370.360731
7.0,1.5649531920702298,839427121.3726856
7.0,1.5548227732635604,802270460.2207236
7.0,1.5276578949177244,1043343958.8538579
7.0,1.5576306864744247,852483148.0170698
7.0,1.5981655318855854,632199152.7245731
7.0,1.4787768056304362,1305371093.0117161
7.0,1.5090477561939082,1330424608.5075796
7.0,1.5246670605950747,964450438.1817148
7.0,1.5679893305511226,694357002.8304514
7.0,1.4973986597698712,1068876020.721314
7.0,1.527132621202643,954776454.5672066
7.0,1.497350069791754,1184837569.049581
7.0,1.5272967595543063,1069974827.8082682
7.0,1.5430945743485551,811977273.8720312
7.0,1.4944346071846375,1188627249.6409245
7.0,1.5431441777998358,1169976255.3750913
7.0,1.5132354122705642,1110244351.0132248
7.0,1.5080931246408766,1145586151.2559915
7.0,1.4786644126755875,1194656379.6015825
7.0,1.5274167692710403,962714818.0887321
7.0,1.444223778167528,1668186905.8692746
7.0,1.4744272216354928,1374726140.170085
